Document-feature matrix of: 168 documents, 6 features (78.77% sparse) and 6 docvars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                        features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docs,Sum of features,asylbewerberinnen,asylbewerber,asyl,aufnahmezentrum,auffanglager,aufnahmezentren, deportation,deportationen, ausweisung, abschiebung, abschiebungen, kolonialismus, ausweisungen, ausweisen,deportiert,abschiebung,abschieben,deportierte, pull-faktor, fluchtursachen, emigranten,fluchtursache, push-faktoren, auswanderer, migrationsdruck, pull-faktoren, ausgebürgert, ausgewandert,ausländerbehörde, verwiesen, ausgewiesen,ausländeramt, ausbürgern, zuzug,einwanderung, einwanderer, migrationshintergrund, zuwanderung, zuwanderer, einwanderungen, immigration, einwanderin, migranten, flüchtlingskrise, migrationspolitik,migrationskrise, islamophobie, islamfeindlichkeit, wanderarbeiter, flüchtlingsströme, empfängerländer, migrationsströme, nationalismus, neubürger, aufnahmeländer, neubürgerinnen, aufnahmestaaten, multikulturalismus, aufenthaltserlaubnis, transitländer, transitstaaten, flüchtlingsboote, aufenthaltsgenehmigung, flüchtlingsboot, flüchtlinge, geflüchteten, rassismus, flüchtling, rassisten, geflüchtete, rassist, schwarzfahrer, rückführung
  CPP-BT_Bundestag_Plenarprotokoll_18_133_2015-11-05.txt,89,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,1,0,1,0,2,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_134_2015-11-06.txt,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_135_2015-11-11.txt,111,0,6,7,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,3,3,1,0,0,0,7
  CPP-BT_Bundestag_Plenarprotokoll_18_136_2015-11-12.txt,166,0,10,4,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,5,9,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,3,6,0,1,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_137_2015-11-13.txt,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_138_2015-11-24.txt,178,1,4,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,1,0,0,0,2,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,10,0,4,1,5,0,0,3
  CPP-BT_Bundestag_Plenarprotokoll_18_139_2015-11-25.txt,220,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,10,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,111,6,1,4,0,2,0,0,4
  CPP-BT_Bundestag_Plenarprotokoll_18_140_2015-11-26.txt,156,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,1,3,2,0,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_141_2015-11-27.txt,49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_142_2015-12-02.txt,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,1
